Date,Open,High,Low,Close,Adj Close,Volume,Close Diff Prev Day,Number of Tweets,average_sentiment,Stock Name_AAPL,Stock Name_AMD,Stock Name_AMZN,Stock Name_BA,Stock Name_BX,Stock Name_COST,Stock Name_CRM,Stock Name_DIS,Stock Name_ENPH,Stock Name_F,Stock Name_GOOG,Stock Name_INTC,Stock Name_KO,Stock Name_META,Stock Name_MSFT,Stock Name_NFLX,Stock Name_NIO,Stock Name_NOC,Stock Name_PG,Stock Name_PYPL,Stock Name_TSLA,Stock Name_VZ,Stock Name_XPEV,Stock Name_ZS
2022-03-02,290.7099915,295.4933472,281.4233398,293.2966614,293.2966614,74643300,5.17333990000003,87.0,0.1703425287356322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-03,292.9233398,295.480011,277.5333252,279.7633362,279.7633362,61623600,-13.533325199999979,90.0,0.19579111111111114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-04,283.0333252,285.2166748,275.0533447,279.4299927,279.4299927,66999600,-0.3333435000000122,107.0,0.23852523364485984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-07,285.4333191,288.7133179,268.1900024,268.1933289,268.1933289,72494100,-11.23666380000003,84.0,0.17101904761904763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-08,265.1766663,283.3299866,260.7233276,274.7999878,274.7999878,80399100,6.6066589000000135,101.0,0.15947128712871286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-09,279.8266602,286.8533325,277.3366699,286.3233337,286.3233337,59184000,11.523345899999981,86.0,0.1897732558139535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-10,283.8166809,284.8166809,270.1199951,279.4333191,279.4333191,58648500,-6.890014599999972,102.0,0.1425862745098039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-11,280.0666809,281.2666626,264.5899963,265.1166687,265.1166687,67037100,-14.316650400000015,94.0,0.043507446808510646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-14,260.2033386,266.8999939,252.0133362,255.456665,255.456665,71152200,-9.660003700000004,94.0,-0.0029010638297872317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-15,258.4233398,268.5233459,252.1900024,267.2966614,267.2966614,66841200,11.839996400000018,99.0,0.137320202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-16,269.6666565,280.6666565,267.4200134,280.0766602,280.0766602,84028800,12.779998799999987,82.0,0.11482195121951219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-17,276.9966736,291.6666565,275.2399902,290.5333252,290.5333252,66582900,10.456664999999987,81.0,0.2538037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-18,291.4966736,302.6166687,289.1300049,301.7966614,301.7966614,100414200,11.263336200000026,82.0,0.22743048780487804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-21,304.9933472,314.2833252,302.3633423,307.0533447,307.0533447,81981600,5.25668330000002,99.0,0.146089898989899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-22,310.0,332.6199951,307.25,331.3266602,331.3266602,105868500,24.273315499999967,218.0,0.22555091743119265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-23,326.6466675,346.8999939,325.4666748,333.0366821,333.0366821,120676200,1.7100219000000152,129.0,0.1803170542635659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-24,336.5766602,341.4966736,329.6000061,337.9733276,337.9733276,68920800,4.936645499999997,100.0,0.234054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-25,336.0,340.6000061,332.4400024,336.8800049,336.8800049,62031600,-1.0933226999999874,80.0,0.2054325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-28,355.0333252,365.9599915,351.2000122,363.9466553,363.9466553,102506100,27.066650399999958,196.0,0.1940964285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-29,369.3299866,371.5899963,357.7033386,366.5233459,366.5233459,73614900,2.5766906000000063,103.0,0.203178640776699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-30,363.7233276,371.3166809,361.3333435,364.6633301,364.6633301,59865000,-1.8600157999999851,98.0,0.07740816326530613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-31,364.8566589,367.7133179,358.8800049,359.2000122,359.2000122,48992700,-5.463317899999993,92.0,0.22671195652173914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-01,360.3833313,364.9166565,355.5466614,361.5299988,361.5299988,54263100,2.329986599999984,113.0,0.10144690265486725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-04,363.1266785,383.3033447,357.5100098,381.8166809,381.8166809,82035900,20.286682100000007,154.0,0.20944805194805197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-05,378.7666626,384.2900085,362.4333191,363.7533264,363.7533264,80075100,-18.063354500000003,112.0,0.15056339285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-06,357.8233337,359.6666565,342.5666809,348.5866699,348.5866699,89348400,-15.166656499999988,96.0,0.17008541666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-07,350.7966614,358.8633423,340.5133362,352.4200134,352.4200134,79447200,3.8333435000000122,144.0,0.2079513888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-08,347.7366638,349.480011,340.813324,341.8299866,341.8299866,55013700,-10.590026800000032,241.0,0.25139502074688796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-11,326.7999878,336.1566772,324.8800049,325.3099976,325.3099976,59357100,-16.51998900000001,117.0,0.1713102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-12,332.5466614,340.3966675,325.5333252,328.9833374,328.9833374,65976000,3.673339800000008,94.0,0.1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-13,327.0266724,342.0799866,324.3666687,340.7900085,340.7900085,55121100,11.806671100000017,89.0,0.10820224719101125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-14,333.0966797,337.5700073,327.3966675,328.3333435,328.3333435,58422300,-12.456664999999987,179.0,0.14729497206703912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-18,329.6766663,338.3066711,324.4700012,334.7633362,334.7633362,51715200,6.429992700000014,107.0,0.06634953271028038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-19,335.019989,344.980011,331.7766724,342.7166748,342.7166748,49847700,7.953338599999995,97.0,0.10641340206185568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-20,343.3333435,344.6666565,325.0833435,325.7333374,325.7333374,70711200,-16.98333740000004,350.0,0.16059257142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-21,358.2433472,364.0733337,332.1400146,336.2600098,336.2600098,105416400,10.526672399999995,206.0,0.1531504854368932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-22,338.3033447,344.9500122,331.3333435,335.0166626,335.0166626,69696600,-1.2433471999999597,114.0,0.09414298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-25,326.3233337,336.206665,325.1000061,332.6733398,332.6733398,68341200,-2.34332280000001,156.0,0.22200641025641027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-26,331.8099976,333.3333435,291.6666565,292.1400146,292.1400146,136133700,-40.533325200000036,217.0,0.10259170506912442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-27,299.5266724,306.0,292.4533386,293.8366699,293.8366699,76956300,1.6966553000000317,123.0,0.1494829268292683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
